Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Conn_01x05_MountingPin,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,8.15,-9.05,180.0,top
U1,CBU,CBU Footprint,7.9,-13.35,0.0,top
