Comment,Designator,Footprint,LCSC,Quantity
Conn_01x05_MountingPin,J2,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,,1
CBU,U1,CBU Footprint,,1
