Comment,Designator,Footprint,LCSC,Quantity
Conn_01x05_MountingPin,J1,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,,1
XIAO-ESP32-C6-SMD,U1,XIAO-ESP32C6-SMD,,1
