Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x05_MountingPin,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,140.7,-89.9,-90.0,top
U1,XIAO-ESP32-C6-SMD,XIAO-ESP32C6-SMD,155.6009,-94.66575,0.0,top
